the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Location,Borough,Date_Insta,POINT_X,POINT_Y,FEMAFldz,FEMAFldT,HrcEvac,NTAname
POINT (-73.93742171685307 40.73376242906374),4,Queens,402,26,37,12,7,Review Avenue and 37th Street,Queens,08/13/2020,-73.93742161,40.73376183,X,AREA OF MINIMAL FLOOD HAZARD,4,Sunnyside
POINT (-73.93038089629471 40.6517335819705),3,Brooklyn,317,45,58,21,9,Utica Avenue and Church Avenue,Brooklyn,02/23/2021,-73.93038096,40.6517331,X,AREA OF MINIMAL FLOOD HAZARD,6,East Flatbush-Rugby
POINT (-73.8748947149512 40.74666955047573),4,Queens,404,25,39,13,6,Whitney Avenue and Denman Street,Queens,08/26/2020,-73.87489472,40.74666886,X,AREA OF MINIMAL FLOOD HAZARD,,Elmhurst
POINT (-73.90121517985278 40.75390280855474),4,Queens,401,26,30,12,6,Northern Boulevard and 61st Street,Queens,04/03/2020,-73.90121512,40.75390215,X,AREA OF MINIMAL FLOOD HAZARD,,Astoria (East)-Woodside (North)
POINT (-73.93487280055206 40.81652848767953),1,Manhattan,111,9,70,30,13,5th Avenue and West 141st Street,Manhattan,12/22/2021,-73.93487265,40.81652799,AE,,2,East Harlem (North)
POINT (-73.74049316624705 40.755086258790186),4,Queens,411,23,26,11,3,Douglaston Parkway and 400' west of 61 Avenue,Queens,11/18/2022,-73.74049317,40.75508626,X,AREA OF MINIMAL FLOOD HAZARD,,Douglaston-Little Neck
POINT (-73.98309303569759 40.68545055268414),3,Brooklyn,302,33,52,26,10,Nevins Street and Pacific Street,Brooklyn,07/19/2022,-73.98309304,40.68545055,X,AREA OF MINIMAL FLOOD HAZARD,6,Downtown Brooklyn-DUMBO-Boerum Hill
POINT (-73.89683616932928 40.84536140734758),2,Bronx,206,15,86,32,15,Third Avenue and East 176th Street,Bronx,10/28/2020,-73.89683608,40.84536091,X,AREA OF MINIMAL FLOOD HAZARD,,Tremont
POINT (-73.94405561521215 40.78296479588152),1,Manhattan,111,5,68,29,12,East 96 Street and FDR Drive,Manhattan,11/08/2022,-73.94405562,40.7829648,AE,,2,Upper East Side-Yorkville
POINT (-73.93040845164806 40.74629583472165),4,Queens,402,26,37,12,7,43 Avenue and 34 Street,Queens,12/20/2022,-73.93040845,40.74629583,X,AREA OF MINIMAL FLOOD HAZARD,,Sunnyside
POINT (-73.9718337419859 40.57980448706299),3,Brooklyn,313,48,46,23,8,Neptune Avenue and West 5th Street,Brooklyn,10/07/2020,-73.9718339,40.57980421,AE,,1,Coney Island-Sea Gate
POINT (-73.9927691985673 40.6655080347818),3,Brooklyn,307,39,51,26,10,4th Avenue and Prospect Avenue,Brooklyn,07/12/2022,-73.9927692,40.66550803,X,AREA OF MINIMAL FLOOD HAZARD,,Windsor Terrace-South Slope
POINT (-73.97635652769827 40.71913312908604),1,Manhattan,103,2,74,27,10,East Houston Street and Baruch Place,Manhattan,11/03/2022,-73.97635653,40.71913313,X,AREA OF MINIMAL FLOOD HAZARD,1,Lower East Side
POINT (-73.98130934045805 40.7207100515044),1,Manhattan,103,2,65,27,10,East Houston Street and Pitt Street,Manhattan,11/14/2018,-73.98130917,40.72070953,X,AREA OF MINIMAL FLOOD HAZARD,4,East Village
POINT (-73.79664852076952 40.689850405850564),4,Queens,412,28,32,10,5,110 Avenue and Sutphin Boulevard,Queens,08/14/2016,-73.79664852,40.68985041,X,AREA OF MINIMAL FLOOD HAZARD,6,South Jamaica
POINT (-73.81534358994884 40.696865350269356),4,Queens,409,28,24,15,5,Atlantic Avenue and 134th Street,Queens,11/03/2020,-73.81534378,40.69686463,X,AREA OF MINIMAL FLOOD HAZARD,,Richmond Hill
POINT (-73.82302455726729 40.76366770445388),4,Queens,407,20,40,16,6,Parsons Boulevard and 37th Avenue,Queens,09/22/2022,-73.82302456,40.7636677,X,AREA OF MINIMAL FLOOD HAZARD,,Murray Hill-Broadway Flushing
POINT (-73.86641475475768 40.74609940936417),4,Queens,404,21,39,13,14,43rd Avenue at 97th Place,Queens,01/02/2020,-73.86641475,40.74609941,X,AREA OF MINIMAL FLOOD HAZARD,,Corona
POINT (-73.92828384205852 40.66144884014044),3,Brooklyn,317,41,58,19,9,Rutland Road and East 91st Street,Brooklyn,07/27/2021,-73.92828389,40.66144834,X,AREA OF MINIMAL FLOOD HAZARD,,East Flatbush-Remsen Village
POINT (-74.01372646838792 40.63148615023845),3,Brooklyn,310,43,49,17,10,8th Avenue and 67th Street,Brooklyn,05/14/2021,-74.01372648,40.63148585,X,AREA OF MINIMAL FLOOD HAZARD,,Dyker Heights
POINT (-73.77549169707343 40.66121043025803),4,Queens,413,31,31,10,5,Rockaway Boulevard and 146 Avenue,Queens,01/23/2023,-73.7754917,40.66121043,X,AREA OF MINIMAL FLOOD HAZARD,3,Springfield Gardens (South)-Brookville
POINT (-73.97702848254892 40.68519195129707),3,Brooklyn,302,35,57,26,10,Hanson Place and St. Felix Street,Brooklyn,05/13/2015,-73.9770284,40.68519149,X,AREA OF MINIMAL FLOOD HAZARD,,Fort Greene
